xPath,yPath,xOutside,yOutside,xInside,yInside
107,151,99.4903,157.603,114.51,144.397
98.5938,145.977,94.0703,152.079,103.117,139.874
87.875,145.188,88.172,150.863,87.578,139.512
77.4688,148.305,82.6926,153.671,72.2449,142.938
70,155,78.5297,160.22,61.4703,149.78
67.6406,168.102,77.553,173.465,57.7282,162.739
68.5,186.812,78.7406,192.546,58.2594,181.079
69.1094,205.367,78.6517,211.46,59.5671,199.274
66,218,73.8456,224.201,58.1544,211.799
56.6484,224.477,61.023,230.611,52.2739,218.342
43.4375,227.438,42.8129,233.414,44.0621,221.461
30.2578,225.43,24.6671,230.918,35.8485,219.941
21,217,12.0373,221.435,29.9627,212.565
15.7734,197.5,5.58126,199.971,25.9656,195.029
12.8125,169.125,2.65667,168.942,22.9683,169.308
13.1953,140.688,3.76552,137.771,22.6251,143.604
18,121,9.4098,115.881,26.5902,126.119
29.8438,114.273,22.5048,107.393,37.1827,121.154
47.375,115.188,41.8558,106.745,52.8942,123.63
65.7188,118.258,61.7992,108.838,69.6383,127.678
80,118,76.6718,108.57,83.3282,127.43
89.5,113.969,85.1128,106.254,93.8872,121.684
96.625,108.75,90.0929,104.051,103.157,113.449
101.188,101.406,92.4457,99.6394,109.929,103.173
103,91,93.0047,90.694,112.995,91.306
98.4219,74.5625,88.2649,73.4502,108.579,75.6748
88.75,53.5,79.0243,50.1957,98.4757,56.8043
81.2031,33.4375,72.5705,27.6858,89.8357,39.1892
83,20,76.1915,12.6757,89.8085,27.3243
100.743,14.3657,97.0542,6.56819,104.432,22.1632
129.023,13.6419,129.531,5.89326,128.515,21.3905
157.041,17.3471,161.716,10.0973,152.367,24.597
174,25,181.706,18.6267,166.294,31.3733
174.183,39.2903,183.611,34.7404,164.754,43.8402
164.294,59.5354,174.685,57.5981,153.903,61.4726
152.167,80.1951,162.739,80.4974,141.594,79.8929
145.634,95.7295,155.583,96.7356,135.684,94.7234
146.448,104.93,154.353,104.216,138.543,105.643
150.544,110.66,155.198,106.615,145.889,114.706
157.026,113.493,158.452,105.895,155.6,121.092
165,114,164.447,104.015,165.553,123.985
175.713,109.925,174.854,98.9218,176.573,120.929
189.148,101.767,188.967,90.428,189.329,113.106
202.509,94.2251,203.556,83.2965,201.461,105.154
213,92,215.39,82.2898,210.61,101.71
220.906,97.0234,225.025,89.8349,216.787,104.212
227.375,106.562,233.712,103.006,221.038,110.119
230.906,118.32,239.262,118.537,222.551,118.103
230,130,239.487,133.162,220.513,126.838
223.328,141.828,232.84,146.835,213.817,136.821
212,154.75,220.808,161.024,203.192,148.476
198.172,167.547,205.759,174.729,190.585,160.364
184,179,190.058,186.956,177.942,171.044
168.297,190.805,172.285,199.456,164.309,182.153
150.5,202.938,151.862,212.089,149.138,193.786
133.703,211.602,132.418,221.015,134.988,202.188
121,213,117.583,222.398,124.417,203.602
114.594,202.703,109.303,211.667,119.885,193.739
112.375,183.875,105.317,192.052,119.433,175.698
110.969,164.109,102.94,171.411,118.997,156.807
